x, y, z
-0.328808, 0.453056, 1.28283
-0.328808, 0.453056, 1.28283
0.241863, -0.1367, 1.13147
-0.124737, 0.0663437, 1.21359
-0.124737, 0.0663437, 1.21359
0.580957, 0.612018, 1.4688
0.425265, 0.718814, 1.2407
0.425265, 0.718814, 1.2407
-0.420232, 0.734166, 0.995761
-0.420232, 0.734166, 0.995761
0.148529, 1.20893, 1.22877
0.528234, 0.721097, 0.861674
-0.303006, 1.09418, 0.205831
-0.423514, 1.44929, 0.471512
-0.423514, 1.44929, 0.471512
-0.343383, 0.377963, 0.736548
-0.343383, 0.377963, 0.736548
-0.343383, 0.377963, 0.736548
-0.94044, 1.27653, 0.0917765
-0.704045, 2.29905, 0.230062
-1.66419, 1.41572, -0.13326
-2.07843, 2.26521, -0.894188
-2.7558, 1.55653, -0.526431
-2.7558, 1.55653, -0.526431
-2.74426, 2.6398, -1.14904
-1.88275, 1.7532, -0.821953
-1.20233, 1.48042, -1.30311
-1.55169, 0.854716, -2.22605
-1.55169, 0.854716, -2.22605
-1.81117, 0.886193, -1.84755
-0.946337, 0.972344, -2.64848
-0.946337, 0.972344, -2.64848
-0.551217, 1.98699, -2.26733
-0.15944, 2.94311, -1.24941
-0.15944, 2.94311, -1.24941
0.584544, 1.90973, -1.72098
0.584544, 1.90973, -1.72098
0.584544, 1.90973, -1.72098
0.584544, 1.90973, -1.72098
0.653515, 1.16148, -1.66925
0.653515, 1.16148, -1.66925
0.313776, 0.344959, -1.29133
0.153442, 0.434898, -1.55248
0.153442, 0.434898, -1.55248
0.153442, 0.434898, -1.55248
0.153442, 0.434898, -1.55248
0.153442, 0.434898, -1.55248
0.130822, 0.176811, -1.58989
0.130822, 0.176811, -1.58989
0.130822, 0.176811, -1.58989
-0.685435, -0.267897, -1.59152
-0.685435, -0.267897, -1.59152
-0.685435, -0.267897, -1.59152
-0.662676, -1.33281, -0.849966
-1.20866, -0.29766, -0.00533566
-1.37718, 0.423823, 0.20666
-0.516016, -0.558462, -0.384739
-0.0571951, -0.307156, -0.00834228
0.558101, -0.740838, 0.23522
0.125057, -0.963233, 0.478702
0.887771, -0.842762, 0.719641
0.887771, -0.842762, 0.719641
0.887771, -0.842762, 0.719641
-0.135259, -0.933291, -0.350201
0.574217, -0.917776, -0.162863
0.574217, -0.917776, -0.162863
0.574217, -0.917776, -0.162863
0.574217, -0.917776, -0.162863
0.574217, -0.917776, -0.162863
0.975245, 0.00654215, -1.10686
0.0451028, -0.228599, -1.29829
0.0451028, -0.228599, -1.29829
0.0729266, -0.632808, -0.551763
0.0729266, -0.632808, -0.551763
0.506833, -0.333879, 0.0823665
0.263687, -0.450549, -0.877395
0.263687, -0.450549, -0.877395
0.649043, -0.942727, -0.601746
0.0947926, -0.0050211, -1.31817
0.0947926, -0.0050211, -1.31817
0.0947926, -0.0050211, -1.31817
0.0947926, -0.0050211, -1.31817
-0.443681, -0.311873, -1.25985
0.257877, -0.729965, -0.560245
0.738868, -0.245846, 0.446012
0.738868, -0.245846, 0.446012
0.738868, -0.245846, 0.446012
0.165098, -0.533168, 0.326549
0.165098, -0.533168, 0.326549
0.165098, -0.533168, 0.326549
0.165098, -0.533168, 0.326549
0.165098, -0.533168, 0.326549
0.165098, -0.533168, 0.326549
0.165098, -0.533168, 0.326549
0.165098, -0.533168, 0.326549
-0.582198, -0.467096, -0.207187
0.098681, -1.16457, 0.12637
-0.751405, -1.29649, -0.22613
-0.751405, -1.29649, -0.22613
-0.0712193, -0.671443, -1.06486
-0.0712193, -0.671443, -1.06486
-0.467504, -0.10666, -1.36931
-0.0473834, -0.330268, -0.977232
-0.0473834, -0.330268, -0.977232
