x, y, z
-2.7516, -0.49034, -3.78424
-2.63329, 0.252471, -3.4934
-2.63329, 0.252471, -3.4934
-2.63329, 0.252471, -3.4934
-1.89413, -0.192169, -5.45214
-4.13396, -1.0682, -3.59492
-3.818, -0.529471, -4.96899
-3.818, -0.529471, -4.96899
-3.10595, -1.32582, -5.03715
-2.90216, -0.604292, -4.37451
-2.90216, -0.604292, -4.37451
-0.993311, -1.04868, -3.80924
-0.993311, -1.04868, -3.80924
-0.993311, -1.04868, -3.80924
-1.9527, -1.59851, -1.81332
-1.6773, 0.0101207, -2.04902
-1.6773, 0.0101207, -2.04902
-1.6773, 0.0101207, -2.04902
0.723503, -2.41582, -3.16745
0.723503, -2.41582, -3.16745
3.14469, -2.26774, -2.79442
3.14469, -2.26774, -2.79442
3.30837, -0.482028, -1.2137
3.30837, -0.482028, -1.2137
4.38851, -2.22411, -2.73146
4.38851, -2.22411, -2.73146
6.61291, -1.72047, -3.00277
6.7306, 0.0018077, -2.17919
6.46678, 1.972, -2.16545
7.5901, 2.69009, -1.51318
7.5901, 2.69009, -1.51318
8.90927, 3.19063, -3.51987
10.1545, 2.96375, -5.68852
9.3812, 2.5632, -7.94059
9.68361, 1.39119, -6.49785
7.5842, 1.7022, -4.25077
7.5842, 1.7022, -4.25077
7.5842, 1.7022, -4.25077
5.39404, 1.24844, -3.64324
4.77191, -1.13691, -5.92437
3.3112, -2.90896, -6.15074
1.72509, -2.7806, -8.01846
1.72509, -2.7806, -8.01846
1.72509, -2.7806, -8.01846
1.72509, -2.7806, -8.01846
1.18136, -2.12294, -7.61465
1.18136, -2.12294, -7.61465
-1.06232, -0.00737349, -7.88875
-2.7639, -1.13061, -6.62032
-3.55375, 0.825059, -5.57595
-3.55375, 0.825059, -5.57595
-3.55375, 0.825059, -5.57595
-5.03856, 1.27001, -5.77804
-5.03856, 1.27001, -5.77804
-5.21228, 2.30347, -5.74846
-3.22562, 2.16902, -4.62742
-3.65644, -0.0668761, -2.86312
-3.43283, 0.828824, -3.64486
-3.43283, 0.828824, -3.64486
-4.93431, -1.52157, -5.48293
-3.84366, -0.675364, -4.57303
-3.84366, -0.675364, -4.57303
-3.81106, -0.665917, -3.90242
-1.62496, -0.0818902, -2.99825
-2.79019, 0.388061, -1.97279
-2.79019, 0.388061, -1.97279
-2.79019, 0.388061, -1.97279
-1.13709, 1.39257, -3.74036
0.866073, 0.396763, -5.88427
0.866073, 0.396763, -5.88427
2.04386, -1.72873, -5.64727
2.04386, -1.72873, -5.64727
2.08804, 0.184973, -4.55156
2.08804, 0.184973, -4.55156
0.0736221, 0.288215, -5.60469
1.7836, 0.24968, -7.47627
1.7836, 0.24968, -7.47627
1.7836, 0.24968, -7.47627
1.7836, 0.24968, -7.47627
1.0732, 1.0726, -6.00871
2.31907, 2.53703, -8.45793
0.362007, 1.42234, -10.45
-0.474655, 0.260352, -8.21121
0.27657, -0.914709, -8.69215
0.00909244, -2.66459, -9.68058
-1.58092, -4.05924, -7.29329
-0.146263, -2.07213, -6.46452
-0.450943, -4.51687, -4.92024
1.92315, -5.60778, -5.28272
0.331713, -4.15337, -3.5685
0.331713, -4.15337, -3.5685
0.331713, -4.15337, -3.5685
-1.97091, -3.53266, -2.15798
