x, y, z
-7.20584, 2.0492, 10.4262
-2.90476, -0.677662, 7.88632
-7.48923, -6.09749, 8.80337
-3.58325, -5.96246, 5.97518
-3.58325, -5.96246, 5.97518
-5.45095, -9.84399, 8.40781
-4.44091, -6.28472, 4.29574
-4.44091, -6.28472, 4.29574
-4.44091, -6.28472, 4.29574
-9.74677, -5.98789, 6.72149
-9.74677, -5.98789, 6.72149
-10.0135, -9.1888, 10.7554
-10.0135, -9.1888, 10.7554
-13.5204, -8.13261, 13.6454
-13.5204, -8.13261, 13.6454
-13.5204, -8.13261, 13.6454
-10.2104, -9.71683, 8.94066
-10.2104, -9.71683, 8.94066
-6.15525, -6.14131, 4.29141
-5.42405, -7.19404, 2.76463
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
1.06018, -6.02335, -6.07653
1.06018, -6.02335, -6.07653
-2.27565, -8.87798, -5.50008
-5.23716, -7.27307, -8.20086
-5.72441, -9.20168, -8.21423
-5.72441, -9.20168, -8.21423
-3.29375, -6.87324, -8.06902
-3.29375, -6.87324, -8.06902
-1.67652, -5.66571, -9.15098
-3.15684, -0.398393, -11.4929
-4.63018, -2.85341, -8.05489
-4.63018, -2.85341, -8.05489
-4.63018, -2.85341, -8.05489
-6.71561, -6.29298, -10.864
-6.71561, -6.29298, -10.864
-3.6183, -8.11783, -11.5
1.73341, -3.46788, -11.4764
1.73341, -3.46788, -11.4764
1.73341, -3.46788, -11.4764
1.73341, -3.46788, -11.4764
-3.79147, -6.77707, -5.87347
-3.79147, -6.77707, -5.87347
-3.79147, -6.77707, -5.87347
-3.79147, -6.77707, -5.87347
-8.0816, -2.34869, -8.68338
-4.13435, -6.04984, -11.3686
-4.13435, -6.04984, -11.3686
-4.13435, -6.04984, -11.3686
-6.74681, -8.60931, -11.6429
-1.17063, -11.8071, -13.1958
3.19031, -14.0522, -13.0251
-1.57159, -8.71724, -11.8722
-1.57159, -8.71724, -11.8722
-1.57159, -8.71724, -11.8722
-1.57159, -8.71724, -11.8722
1.76624, -8.79123, -12.2549
4.63819, -6.83266, -12.0304
0.931757, -7.51213, -8.41989
0.931757, -7.51213, -8.41989
0.931757, -7.51213, -8.41989
-4.33044, -7.14103, -8.8493
-9.66829, -7.667, -12.5821
-4.45348, -5.90676, -16.9926
-1.8986, -3.0076, -14.679
-0.862016, -1.69143, -12.3457
0.906717, 3.50396, -8.91716
5.88123, 6.96184, -3.80457
4.28738, 5.41223, -3.81899
3.4152, 2.48495, -6.54566
5.62545, 1.6703, -6.09479
0.111664, 2.17107, -9.58471
2.06558, 5.52083, -6.16522
0.340918, 8.62564, -11.0008
-1.05917, 3.69445, -6.47268
0.481578, 3.90767, -7.28263
0.481578, 3.90767, -7.28263
0.481578, 3.90767, -7.28263
0.121141, -0.544079, -2.11673
0.121141, -0.544079, -2.11673
0.121141, -0.544079, -2.11673
0.121141, -0.544079, -2.11673
0.121141, -0.544079, -2.11673
-0.675279, -1.76143, 2.77581
1.76515, -1.31883, 6.97753
1.76515, -1.31883, 6.97753
-1.90361, 3.9958, 9.61891
0.209853, 8.68775, 12.9334
1.08887, 4.38702, 10.681
3.56374, -0.843611, 12.5346
-0.755186, 3.70647, 13.5076
-2.61207, 7.3246, 12.6041
2.14017, 8.6582, 7.25064
4.087, 8.24473, 7.96021
0.388763, 4.48755, 6.93724
-0.454023, 4.52149, 11.1466
3.4122, 1.31486, 15.2693
3.4122, 1.31486, 15.2693
3.4122, 1.31486, 15.2693
-1.98338, -2.18325, 13.7162
0.146259, -6.61587, 17.6314
-5.35352, -3.26059, 12.4244
-3.17328, -1.43334, 13.0344
-3.17328, -1.43334, 13.0344
-3.17328, -1.43334, 13.0344
-3.17328, -1.43334, 13.0344
-0.497595, -2.40825, 13.472
-0.497595, -2.40825, 13.472
-3.86547, 2.38071, 10.0036
-3.86547, 2.38071, 10.0036
-1.34698, 0.0412265, 11.7555
4.24445, 0.897608, 12.4
4.90212, 3.17138, 12.2694
10.5203, 7.47008, 9.44612
10.5203, 7.47008, 9.44612
10.5203, 7.47008, 9.44612
10.5203, 7.47008, 9.44612
8.41388, 10.4947, 9.11733
8.41388, 10.4947, 9.11733
3.52797, 8.49143, 12.5269
3.52797, 8.49143, 12.5269
3.52797, 8.49143, 12.5269
3.52797, 8.49143, 12.5269
-0.422409, 4.01307, 7.06157
-1.73049, -1.616, 11.2985
-1.73049, -1.616, 11.2985
3.20304, -5.83172, 7.73239
-0.22604, -4.91007, 7.0529
3.67089, -8.04065, 3.70914
5.22794, -6.45485, 7.49573
0.813461, -7.66459, 9.57962
2.10221, -9.08814, 9.07491
3.25299, -8.23698, 14.227
-0.0146374, -6.02491, 10.4425
-4.89845, -10.1139, 8.82978
-4.89845, -10.1139, 8.82978
0.00320193, -11.7831, 12.5597
0.00320193, -11.7831, 12.5597
1.73332, -14.5305, 12.4154
1.73332, -14.5305, 12.4154
3.18003, -10.3015, 14.6282
3.18003, -10.3015, 14.6282
3.18003, -10.3015, 14.6282
-0.956481, -5.97626, 12.8451
0.922144, -5.97875, 11.4493
-4.71076, -10.0182, 9.30203
-6.79136, -10.354, 5.71524
-1.39574, -12.7692, 7.21316
1.17709, -11.5987, 11.9181
0.574713, -13.3346, 10.8861
0.574713, -13.3346, 10.8861
3.43544, -8.87318, 12.7514
1.71759, -5.63208, 14.2561
-0.697111, -10.1434, 12.679
-0.697111, -10.1434, 12.679
