                  mu               sigma              energy
                0.75            0.633333             -0.4322
                0.75                0.65           -0.426569
                0.75            0.666667           -0.425884
                0.75            0.683333           -0.414956
                0.75                 0.7           -0.404884
                0.75            0.716667           -0.378507
                0.75            0.733333           -0.366739
                0.75                0.75           -0.374433
                0.75            0.766667           -0.340877
                0.75            0.783333           -0.327814
                0.75                 0.8           -0.300217
                0.75            0.816667           -0.291621
                0.75            0.833333           -0.272348
                0.75                0.85           -0.245988
                0.75            0.866667            -0.21118
                0.75            0.883333            -0.17157
                0.75                 0.9           -0.155364
                0.75            0.916667           -0.141738
                0.75            0.933333          -0.0727518
                0.75                0.95          -0.0706865
                0.75            0.966667          -0.0231792
                0.75            0.983333          -0.0226821
            0.766667                 0.5            -0.29939
            0.766667            0.516667           -0.334593
            0.766667            0.533333           -0.382113
            0.766667                0.55           -0.400192
            0.766667            0.566667           -0.422532
            0.766667            0.583333           -0.421714
            0.766667                 0.6           -0.438004
            0.766667            0.616667           -0.434355
            0.766667            0.633333           -0.442779
            0.766667                0.65           -0.433456
            0.766667            0.666667            -0.42259
            0.766667            0.683333           -0.420352
            0.766667                 0.7            -0.40751
            0.766667            0.716667           -0.394493
            0.766667            0.733333           -0.369609
            0.766667                0.75           -0.351761
            0.766667            0.766667           -0.341949
            0.766667            0.783333           -0.331372
            0.766667                 0.8           -0.304494
            0.766667            0.816667            -0.29383
            0.766667            0.833333           -0.268877
            0.766667                0.85           -0.197665
            0.766667            0.866667           -0.212797
            0.766667            0.883333            -0.19671
            0.766667                 0.9           -0.143955
            0.766667            0.916667           -0.129891
            0.766667            0.933333           -0.110515
            0.766667                0.95           -0.102607
            0.766667            0.966667          -0.0174239
            0.766667            0.983333            0.012176
            0.783333                 0.5           -0.302598
            0.783333            0.516667           -0.334564
            0.783333            0.533333           -0.370885
            0.783333                0.55           -0.410692
            0.783333            0.566667           -0.429383
            0.783333            0.583333           -0.430685
            0.783333                 0.6           -0.433989
            0.783333            0.616667            -0.42754
            0.783333            0.633333           -0.441113
            0.783333                0.65           -0.434051
            0.783333            0.666667           -0.419539
            0.783333            0.683333            -0.42107
            0.783333                 0.7           -0.403376
            0.783333            0.716667           -0.403228
            0.783333            0.733333           -0.369069
            0.783333                0.75           -0.345795
            0.783333            0.766667            -0.34562
            0.783333            0.783333           -0.323223
            0.783333                 0.8           -0.298573
            0.783333            0.816667           -0.259675
            0.783333            0.833333           -0.254465
            0.783333                0.85           -0.221164
            0.783333            0.866667           -0.181924
            0.783333            0.883333           -0.169279
            0.783333                 0.9           -0.130705
            0.783333            0.916667           -0.105738
            0.783333            0.933333          -0.0733675
            0.783333                0.95          -0.0395689
            0.783333            0.966667           0.0395971
            0.783333            0.983333           0.0636083
                 0.8                 0.5           -0.306387
                 0.8            0.516667           -0.358099
                 0.8            0.533333           -0.379675
                 0.8                0.55           -0.402286
                 0.8            0.566667           -0.422901
                 0.8            0.583333           -0.433579
                 0.8                 0.6           -0.443067
                 0.8            0.616667           -0.442044
                 0.8            0.633333           -0.439826
                 0.8                0.65           -0.435055
                 0.8            0.666667           -0.425433
                 0.8            0.683333           -0.423652
                 0.8                 0.7           -0.395516
                 0.8            0.716667           -0.374676
                 0.8            0.733333            -0.36681
                 0.8                0.75           -0.351054
                 0.8            0.766667           -0.343827
                 0.8            0.783333           -0.308142
                 0.8                 0.8            -0.30169
                 0.8            0.816667           -0.262196
                 0.8            0.833333            -0.23759
                 0.8                0.85           -0.206003
                 0.8            0.866667           -0.172165
                 0.8            0.883333          -0.0981803
                 0.8                 0.9            -0.12521
                 0.8            0.916667          -0.0929746
                 0.8            0.933333         -0.00805563
                 0.8                0.95          0.00209097
                 0.8            0.966667           0.0273714
                 0.8            0.983333           0.0391462
            0.816667                 0.5           -0.289417
            0.816667            0.516667           -0.344871
            0.816667            0.533333            -0.36957
            0.816667                0.55           -0.398123
            0.816667            0.566667           -0.418205
            0.816667            0.583333           -0.427469
            0.816667                 0.6           -0.439756
            0.816667            0.616667           -0.444731
            0.816667            0.633333           -0.442734
            0.816667                0.65           -0.434584
            0.816667            0.666667           -0.419749
            0.816667            0.683333           -0.403044
            0.816667                 0.7           -0.394132
            0.816667            0.716667           -0.375444
            0.816667            0.733333            -0.35883
            0.816667                0.75           -0.335898
            0.816667            0.766667           -0.332573
            0.816667            0.783333           -0.305454
            0.816667                 0.8           -0.280835
            0.816667            0.816667           -0.240716
            0.816667            0.833333           -0.207206
            0.816667                0.85            -0.19737
            0.816667            0.866667           -0.152172
            0.816667            0.883333           -0.142025
            0.816667                 0.9           -0.116332
            0.816667            0.916667          -0.0270836
            0.816667            0.933333          -0.0312359
            0.816667                0.95           0.0196531
            0.816667            0.966667           0.0729799
            0.816667            0.983333            0.132729
            0.833333                 0.5           -0.288618
            0.833333            0.516667           -0.335443
            0.833333            0.533333           -0.372008
            0.833333                0.55           -0.401629
            0.833333            0.566667           -0.413925
            0.833333            0.583333           -0.426785
            0.833333                 0.6           -0.430512
            0.833333            0.616667           -0.434022
            0.833333            0.633333           -0.429103
            0.833333                0.65           -0.425715
            0.833333            0.666667           -0.420083
            0.833333            0.683333            -0.40391
            0.833333                 0.7           -0.379166
            0.833333            0.716667           -0.364207
            0.833333            0.733333           -0.360275
            0.833333                0.75           -0.331639
            0.833333            0.766667           -0.311502
            0.833333            0.783333           -0.298933
            0.833333                 0.8           -0.277766
            0.833333            0.816667           -0.225149
            0.833333            0.833333           -0.216563
            0.833333                0.85           -0.170287
            0.833333            0.866667           -0.112665
            0.833333            0.883333          -0.0753647
            0.833333                 0.9          -0.0710041
            0.833333            0.916667           0.0574508
            0.833333            0.933333          -0.0406081
            0.833333                0.95           0.0479207
            0.833333            0.966667           0.0998116
            0.833333            0.983333            0.157007
                0.85                 0.5           -0.270705
                0.85            0.516667            -0.31963
                0.85            0.533333           -0.363642
                0.85                0.55           -0.396393
                0.85            0.566667           -0.414375
                0.85            0.583333           -0.422933
                0.85                 0.6            -0.43492
                0.85            0.616667           -0.436363
                0.85            0.633333           -0.429196
                0.85                0.65            -0.41388
                0.85            0.666667           -0.409479
                0.85            0.683333            -0.39874
                0.85                 0.7           -0.378386
                0.85            0.716667           -0.367253
                0.85            0.733333           -0.347275
                0.85                0.75           -0.294592
                0.85            0.766667           -0.309357
                0.85            0.783333           -0.247837
                0.85                 0.8           -0.230082
                0.85            0.816667           -0.227353
                0.85            0.833333           -0.198626
                0.85                0.85           -0.131353
                0.85            0.866667           -0.106201
                0.85            0.883333          -0.0548858
                0.85                 0.9          -0.0554261
                0.85            0.916667          -0.0026019
                0.85            0.933333           0.0814201
                0.85                0.95            0.103868
                0.85            0.966667            0.143771
                0.85            0.983333            0.208574
            0.866667                 0.5           -0.268513
            0.866667            0.516667           -0.324593
            0.866667            0.533333           -0.349992
            0.866667                0.55           -0.381118
            0.866667            0.566667           -0.400591
            0.866667            0.583333           -0.407569
            0.866667                 0.6           -0.429749
            0.866667            0.616667           -0.427903
            0.866667            0.633333           -0.421422
            0.866667                0.65           -0.418639
            0.866667            0.666667           -0.387535
            0.866667            0.683333           -0.372182
            0.866667                 0.7           -0.366073
            0.866667            0.716667           -0.369299
            0.866667            0.733333            -0.32747
            0.866667                0.75           -0.302509
            0.866667            0.766667           -0.249838
            0.866667            0.783333           -0.230067
            0.866667                 0.8           -0.234213
            0.866667            0.816667           -0.153461
            0.866667            0.833333           -0.161667
            0.866667                0.85           -0.106602
            0.866667            0.866667          -0.0520651
            0.866667            0.883333          -0.0314815
            0.866667                 0.9          -0.0228658
            0.866667            0.916667           0.0153446
            0.866667            0.933333           0.0859695
            0.866667                0.95           0.0798043
            0.866667            0.966667            0.209307
            0.866667            0.983333            0.236421
            0.883333                 0.5           -0.253343
            0.883333            0.516667           -0.305324
            0.883333            0.533333           -0.351251
            0.883333                0.55           -0.372165
            0.883333            0.566667           -0.394052
            0.883333            0.583333           -0.417006
            0.883333                 0.6           -0.414363
            0.883333            0.616667           -0.409016
            0.883333            0.633333           -0.410158
            0.883333                0.65           -0.401709
            0.883333            0.666667           -0.396748
            0.883333            0.683333           -0.368113
            0.883333                 0.7           -0.352348
            0.883333            0.716667           -0.353658
            0.883333            0.733333           -0.328669
            0.883333                0.75           -0.298404
            0.883333            0.766667           -0.256726
            0.883333            0.783333           -0.260385
            0.883333                 0.8           -0.197654
            0.883333            0.816667           -0.176942
            0.883333            0.833333           -0.122357
            0.883333                0.85          -0.0936741
