           Iteration         Path Length         Temperature
               35700             500.038               36.45
               35800             573.125                36.3
               35900             576.011               36.15
               36000             551.344                  36
               36100             575.909               35.85
               36200             424.223                35.7
               36300             512.879               35.55
               36400             446.975                35.4
               36500             480.811               35.25
               36600             523.394                35.1
               36700             503.071               34.95
               36800             555.858                34.8
               36900             462.201               34.65
               37000             445.338                34.5
               37100             501.495               34.35
               37200             481.983                34.2
               37300             429.532               34.05
               37400             413.569                33.9
               37500             501.791               33.75
               37600             490.777                33.6
               37700             574.342               33.45
               37800             507.118                33.3
               37900             567.806               33.15
               38000              457.07                  33
               38100             490.416               32.85
               38200             472.895                32.7
               38300             481.875               32.55
               38400             530.614                32.4
               38500             553.069               32.25
               38600             431.458                32.1
               38700             411.955               31.95
               38800             488.823                31.8
               38900             444.492               31.65
               39000             485.369                31.5
               39100              467.26               31.35
               39200             501.299                31.2
               39300             414.924               31.05
               39400             576.755                30.9
               39500             429.105               30.75
               39600              488.56                30.6
               39700             533.545               30.45
               39800             464.049                30.3
               39900             488.876               30.15
               40000             509.518                  30
               40100             524.096               29.85
               40200             474.227                29.7
               40300             490.293               29.55
               40400              454.82                29.4
               40500             488.018               29.25
               40600             469.766                29.1
               40700             471.688               28.95
               40800             466.632                28.8
               40900             490.307               28.65
               41000             525.132                28.5
               41100             460.504               28.35
               41200             544.999                28.2
               41300             511.381               28.05
               41400             449.831                27.9
               41500             530.762               27.75
               41600             413.164                27.6
               41700             428.063               27.45
               41800             545.022                27.3
               41900              442.32               27.15
               42000             459.701                  27
               42100             507.879               26.85
               42200             406.337                26.7
               42300             446.921               26.55
               42400             476.394                26.4
               42500             556.332               26.25
               42600             424.792                26.1
               42700             464.747               25.95
               42800             509.098                25.8
               42900             448.844               25.65
               43000             451.064                25.5
               43100             469.839               25.35
               43200             507.011                25.2
               43300              462.67               25.05
               43400             497.554                24.9
               43500             476.738               24.75
               43600             508.941                24.6
               43700             433.788               24.45
               43800             403.684                24.3
               43900             448.345               24.15
               44000             480.175                  24
               44100             443.204               23.85
               44200             445.211                23.7
               44300             567.159               23.55
               44400             486.225                23.4
               44500             478.894               23.25
               44600             476.819                23.1
               44700             501.845               22.95
               44800             502.847                22.8
               44900             402.183               22.65
               45000             426.319                22.5
               45100             504.947               22.35
               45200             483.829                22.2
               45300             471.345               22.05
               45400             432.337                21.9
               45500             514.991               21.75
               45600             355.039                21.6
               45700             478.794               21.45
               45800             439.749                21.3
               45900             462.779               21.15
               46000             457.165                  21
               46100             490.749               20.85
               46200             458.093                20.7
               46300             521.037               20.55
               46400             523.308                20.4
               46500             516.927               20.25
               46600             474.604                20.1
               46700             419.595               19.95
               46800             334.413                19.8
               46900             429.141               19.65
               47000             422.291                19.5
               47100             377.848               19.35
               47200             446.695                19.2
               47300             455.208               19.05
               47400             518.576                18.9
               47500             497.631               18.75
               47600             462.567                18.6
               47700             410.597               18.45
               47800             464.748                18.3
               47900              397.24               18.15
               48000             438.418                  18
               48100             373.837               17.85
               48200             456.515                17.7
               48300             435.556               17.55
               48400             446.794                17.4
               48500             375.934               17.25
               48600             445.489                17.1
               48700             460.907               16.95
               48800             455.878                16.8
               48900             507.357               16.65
               49000             464.583                16.5
               49100             425.741               16.35
               49200             385.988                16.2
               49300             475.067               16.05
               49400             417.547                15.9
               49500             483.696               15.75
               49600             390.619                15.6
               49700             305.145               15.45
               49800             344.691                15.3
               49900             383.702               15.15
               50000             359.225                  15
               50100             391.173               14.85
               50200             428.785                14.7
               50300              409.92               14.55
               50400             460.261                14.4
               50500             411.823               14.25
               50600             438.566                14.1
               50700               448.1               13.95
               50800              490.97                13.8
               50900             414.655               13.65
               51000             388.755                13.5
               51100             428.141               13.35
               51200             414.545                13.2
               51300             405.047               13.05
               51400             423.233                12.9
               51500             386.558               12.75
               51600             435.565                12.6
               51700             420.374               12.45
               51800             332.731                12.3
               51900             359.111               12.15
               52000              359.92                  12
               52100             416.908               11.85
               52200             341.635                11.7
               52300             368.608               11.55
               52400             398.699                11.4
               52500             407.481               11.25
               52600             411.364                11.1
               52700             434.598               10.95
               52800             395.351                10.8
               52900              357.08               10.65
               53000             280.148                10.5
               53100             345.484               10.35
               53200             289.265                10.2
               53300             319.278               10.05
               53400             356.137                 9.9
               53500             428.432                9.75
               53600             415.432                 9.6
               53700             373.547                9.45
               53800             377.534                 9.3
               53900             296.013                9.15
               54000             273.435                   9
               54100             307.112                8.85
               54200             315.883                 8.7
               54300              337.01                8.55
               54400             353.183                 8.4
               54500             385.807                8.25
               54600             342.981                 8.1
               54700             346.147                7.95
               54800             430.589                 7.8
               54900             346.541                7.65
               55000             300.355                 7.5
               55100             293.654                7.35
               55200             249.169                 7.2
               55300             265.753                7.05
               55400             300.814                 6.9
               55500             332.863                6.75
               55600             274.321                 6.6
               55700             312.138                6.45
               55800             258.638                 6.3
               55900             260.118                6.15
               56000             278.114                   6
               56100             301.838                5.85
               56200             309.895                 5.7
               56300             278.259                5.55
               56400             281.985                 5.4
               56500             284.603                5.25
               56600              301.88                 5.1
               56700             268.004                4.95
               56800             297.351                 4.8
               56900             259.345                4.65
               57000             286.962                 4.5
               57100             277.281                4.35
               57200             259.727                 4.2
               57300             248.326                4.05
               57400             274.899                 3.9
               57500             265.474                3.75
               57600             267.486                 3.6
               57700             264.094                3.45
               57800             252.136                 3.3
               57900             225.344                3.15
               58000             221.073                   3
               58100             217.361                2.85
               58200             218.654                 2.7
               58300             224.114                2.55
               58400             222.516                 2.4
               58500             221.348                2.25
               58600             224.482                 2.1
               58700             211.458                1.95
               58800             199.606                 1.8
               58900             191.729                1.65
               59000             188.272                 1.5
               59100             191.804                1.35
               59200             191.791                 1.2
               59300             194.581                1.05
               59400             196.009                 0.9
               59500             194.444                0.75
               59600             192.432                 0.6
               59700              190.35                0.45
               59800             186.618                 0.3
               59900             186.618                0.15
