           Iteration         Path Length         Temperature
               36800             570.515                34.8
               36900               477.4               34.65
               37000              557.63                34.5
               37100             503.512               34.35
               37200              454.64                34.2
               37300             507.049               34.05
               37400             467.328                33.9
               37500             505.634               33.75
               37600             427.217                33.6
               37700             454.447               33.45
               37800             518.575                33.3
               37900             434.975               33.15
               38000             405.972                  33
               38100             503.851               32.85
               38200             483.552                32.7
               38300             475.334               32.55
               38400             423.682                32.4
               38500              494.06               32.25
               38600             472.918                32.1
               38700             448.679               31.95
               38800             508.003                31.8
               38900             425.228               31.65
               39000             555.888                31.5
               39100               472.9               31.35
               39200             526.968                31.2
               39300             469.234               31.05
               39400              508.82                30.9
               39500             428.811               30.75
               39600             449.589                30.6
               39700             471.611               30.45
               39800             460.282                30.3
               39900             538.482               30.15
               40000              480.76                  30
               40100             515.634               29.85
               40200             474.102                29.7
               40300              456.31               29.55
               40400             542.237                29.4
               40500             536.089               29.25
               40600             458.827                29.1
               40700             503.423               28.95
               40800             514.273                28.8
               40900             449.587               28.65
               41000             560.325                28.5
               41100             532.463               28.35
               41200             495.162                28.2
               41300             506.487               28.05
               41400             470.524                27.9
               41500             432.462               27.75
               41600             446.979                27.6
               41700             554.612               27.45
               41800              454.43                27.3
               41900             522.072               27.15
               42000             472.613                  27
               42100             466.477               26.85
               42200             469.025                26.7
               42300              458.86               26.55
               42400             457.591                26.4
               42500             459.468               26.25
               42600             476.696                26.1
               42700             484.812               25.95
               42800             468.555                25.8
               42900             464.603               25.65
               43000             467.317                25.5
               43100             497.357               25.35
               43200             445.351                25.2
               43300             456.795               25.05
               43400             463.627                24.9
               43500             511.365               24.75
               43600             391.723                24.6
               43700             445.922               24.45
               43800             449.026                24.3
               43900             439.518               24.15
               44000             511.972                  24
               44100             542.045               23.85
               44200             502.632                23.7
               44300             535.236               23.55
               44400             432.815                23.4
               44500             415.861               23.25
               44600             511.346                23.1
               44700             596.917               22.95
               44800             457.167                22.8
               44900             425.738               22.65
               45000             444.156                22.5
               45100             435.394               22.35
               45200             472.818                22.2
               45300             418.272               22.05
               45400              497.45                21.9
               45500             468.552               21.75
               45600             478.369                21.6
               45700             420.447               21.45
               45800              412.37                21.3
               45900             402.625               21.15
               46000              455.03                  21
               46100             494.645               20.85
               46200             447.557                20.7
               46300             408.163               20.55
               46400             447.042                20.4
               46500             390.731               20.25
               46600             545.343                20.1
               46700             438.987               19.95
               46800             482.377                19.8
               46900             427.713               19.65
               47000             434.568                19.5
               47100             463.279               19.35
               47200              448.26                19.2
               47300             440.666               19.05
               47400             468.139                18.9
               47500             387.287               18.75
               47600             401.646                18.6
               47700             482.658               18.45
               47800              500.86                18.3
               47900             535.371               18.15
               48000             427.665                  18
               48100             451.566               17.85
               48200             376.382                17.7
               48300             467.303               17.55
               48400             462.357                17.4
               48500             459.607               17.25
               48600             423.871                17.1
               48700             414.826               16.95
               48800             404.488                16.8
               48900             473.038               16.65
               49000             431.939                16.5
               49100             422.265               16.35
               49200             437.896                16.2
               49300             446.158               16.05
               49400             448.189                15.9
               49500             384.091               15.75
               49600             487.158                15.6
               49700             451.539               15.45
               49800             470.794                15.3
               49900             450.259               15.15
               50000             405.522                  15
               50100             428.263               14.85
               50200             374.165                14.7
               50300             464.224               14.55
               50400             558.246                14.4
               50500             562.963               14.25
               50600             422.619                14.1
               50700             371.841               13.95
               50800             382.178                13.8
               50900             363.438               13.65
               51000             367.556                13.5
               51100             371.089               13.35
               51200              439.44                13.2
               51300             499.803               13.05
               51400             450.066                12.9
               51500              335.16               12.75
               51600             343.187                12.6
               51700             357.326               12.45
               51800             351.473                12.3
               51900             361.873               12.15
               52000             365.989                  12
               52100             389.426               11.85
               52200             406.881                11.7
               52300             367.627               11.55
               52400             405.136                11.4
               52500             365.973               11.25
               52600             422.774                11.1
               52700             417.604               10.95
               52800              428.19                10.8
               52900             420.534               10.65
               53000             400.498                10.5
               53100             395.823               10.35
               53200             439.426                10.2
               53300             452.398               10.05
               53400             464.314                 9.9
               53500             369.982                9.75
               53600             417.371                 9.6
               53700             359.234                9.45
               53800             351.868                 9.3
               53900             423.855                9.15
               54000             365.901                   9
               54100             384.343                8.85
               54200             422.753                 8.7
               54300             361.319                8.55
               54400             365.404                 8.4
               54500             327.486                8.25
               54600             275.262                 8.1
               54700             303.261                7.95
               54800             372.798                 7.8
               54900             272.206                7.65
               55000               336.6                 7.5
               55100             344.825                7.35
               55200             286.674                 7.2
               55300              308.46                7.05
               55400               292.8                 6.9
               55500             343.288                6.75
               55600             318.878                 6.6
               55700             355.872                6.45
               55800             383.446                 6.3
               55900             363.712                6.15
               56000             349.319                   6
               56100             320.969                5.85
               56200             271.347                 5.7
               56300             271.271                5.55
               56400             279.645                 5.4
               56500             265.338                5.25
               56600             276.186                 5.1
               56700             269.622                4.95
               56800             241.859                 4.8
               56900             233.763                4.65
               57000             241.415                 4.5
               57100             254.038                4.35
               57200             238.905                 4.2
               57300             221.929                4.05
               57400             230.186                 3.9
               57500             233.194                3.75
               57600             231.128                 3.6
               57700             229.928                3.45
               57800             227.425                 3.3
               57900             218.993                3.15
               58000             222.065                   3
               58100             190.171                2.85
               58200             194.501                 2.7
               58300             187.025                2.55
               58400             177.333                 2.4
               58500             175.806                2.25
               58600             171.278                 2.1
               58700             186.698                1.95
               58800             189.349                 1.8
               58900             187.674                1.65
               59000             185.759                 1.5
               59100              177.12                1.35
               59200             180.906                 1.2
               59300             173.863                1.05
               59400             172.812                 0.9
               59500             170.199                0.75
               59600             169.139                 0.6
               59700             169.139                0.45
               59800             168.779                 0.3
               59900             168.493                0.15
