           Iteration         Path Length         Temperature
               45700             739.873               21.45
               45800             819.442                21.3
               45900             722.494               21.15
               46000             608.486                  21
               46100             512.761               20.85
               46200             462.982                20.7
               46300             564.909               20.55
               46400              572.69                20.4
               46500             577.534               20.25
               46600             611.792                20.1
               46700             611.412               19.95
               46800             651.778                19.8
               46900             549.473               19.65
               47000             540.361                19.5
               47100             555.914               19.35
               47200             578.342                19.2
               47300              586.92               19.05
               47400             598.808                18.9
               47500             490.055               18.75
               47600             518.813                18.6
               47700             606.908               18.45
               47800              712.03                18.3
               47900             688.111               18.15
               48000             633.644                  18
               48100             533.497               17.85
               48200             513.329                17.7
               48300             595.902               17.55
               48400             512.478                17.4
               48500             553.171               17.25
               48600             527.796                17.1
               48700             541.371               16.95
               48800             681.784                16.8
               48900             776.803               16.65
               49000             854.251                16.5
               49100             688.769               16.35
               49200             618.313                16.2
               49300             606.595               16.05
               49400             558.451                15.9
               49500             598.672               15.75
               49600             669.834                15.6
               49700             641.371               15.45
               49800             572.446                15.3
               49900             626.047               15.15
               50000             517.859                  15
               50100             569.378               14.85
               50200             449.483                14.7
               50300             504.454               14.55
               50400             571.278                14.4
               50500             485.529               14.25
               50600             500.113                14.1
               50700              567.46               13.95
               50800             519.686                13.8
               50900             504.813               13.65
               51000             457.354                13.5
               51100             477.632               13.35
               51200             528.713                13.2
               51300             521.085               13.05
               51400             501.679                12.9
               51500             602.372               12.75
               51600             596.815                12.6
               51700             579.189               12.45
               51800             522.634                12.3
               51900             509.047               12.15
               52000             597.853                  12
               52100             584.689               11.85
               52200             552.232                11.7
               52300             585.864               11.55
               52400             611.347                11.4
               52500             603.139               11.25
               52600             560.434                11.1
               52700             521.316               10.95
               52800             519.647                10.8
               52900             527.073               10.65
               53000             506.421                10.5
               53100             426.074               10.35
               53200             504.173                10.2
               53300             406.199               10.05
               53400              416.73                 9.9
               53500             404.853                9.75
               53600             440.636                 9.6
               53700             410.428                9.45
               53800             412.451                 9.3
               53900             419.705                9.15
               54000             402.841                   9
               54100             414.052                8.85
               54200             395.703                 8.7
